Name,Lat,Long
上海桃浦,31.278981,121.363483
上海黃渡,31.272269,121.212584
上海資生堂,31.229526,121.515804
南京,32.060255,118.796877
蘇州,31.298979,120.58529
無錫,31.49117,120.31191
徐州,34.205768,117.284124
南通,31.980172,120.894291
楊州,32.394213,119.412947
杭州,30.274085,120.15507
寧波,29.868336,121.54399
溫州,27.993828,120.699362
金華,29.079175,119.647421
福州,26.074508,119.296494
廈門,24.479834,118.089425
合肥,31.820592,117.227219
蚌埠,32.916287,117.389719
北京一處,39.896097,116.398259
北京大興,39.726929,116.341395
北京大松塾,39.723671,116.654663
天津,39.084158,117.200983
石家庄,38.042307,114.51486
鄭州,34.746611,113.625328
濟南,36.651216,117.12
青島,36.067108,120.382609
太原,37.87059,112.548879
廣州,23.12911,113.264385
武漢,30.593099,114.305393
東莞,23.020673,113.7518
深圳,22.543096,114.057865
中山,22.516999,113.392725
長沙,28.228209,112.938814
成都,30.572816,104.066801
重慶,29.56301,106.551556
西安,34.341575,108.93977
貴陽,26.647661,106.630154
昆明,24.880095,102.832892
蘭州,36.061089,103.834304
西寧,36.617134,101.778224
沈陽,41.805699,123.431472
大連,38.914003,121.614682
長春,43.817072,125.323544
哈爾濱,45.803775,126.534967
